URL,Lokasi,Harga
https://www.properti123.com/properti-jual/12923-dijual-rumah-di-jln-pinang-barat-1-pondok-labu-cilandak-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 2.8 Milliar
https://www.properti123.com/properti-jual/12919-dijual-rumah-di-jl-pulo-indah-petukangan-selatan-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 2.2 Milliar
https://www.properti123.com/properti-jual/12916-dijual-rumah-cluster-di-srengseng-sawah-jagakarsa-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 1.34 Milliar
https://www.properti123.com/properti-jual/12912-dijual-murah-rumah-cluster-dekat-transmart-cilandak-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 3.55 Milliar
https://www.properti123.com/properti-jual/12908-dijual-rumah-murah-cluster-scandi-house-9-di-jagakarsa-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 2.03 Milliar
https://www.properti123.com/properti-jual/12900-dijual-murah-rumah-mewah-di-jln-jatipadang-pasar-minggu-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 3.95 Milliar
https://www.properti123.com/properti-jual/12897-rumah-mewah-kav-a-di-jln-jatipadang-pasar-minggu,"Kota Jakarta Selatan, Dki Jakarta",Rp 3.9 Milliar
https://www.properti123.com/properti-jual/12896-dijual-rumah-cluster-di-srengseng-sawah-jagakarsa-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 1.14 Milliar
https://www.properti123.com/properti-jual/12893-dijual-murah-rumah-di-jln-cendrawasih-pesanggrahan-kebayoran-lama-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 4.25 Milliar
https://www.properti123.com/properti-jual/12892-dijual-rumah-murah-cluster-scandi-house-9-di-jagakarsa-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 1.85 Milliar
https://www.properti123.com/properti-jual/12891-dijual-murah-rumah-mewah-ada-kolam-renang-di-kebagusan-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 2.85 Milliar
https://www.properti123.com/properti-jual/12888-dijual-rumah-baru-minimalis-di-jln-tebet-utara-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 1.5 Milliar
https://www.properti123.com/properti-jual/12886-dijual-murah-rumah-di-jln-cendrawasih-pesanggrahan-kebayoran-lama-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 4.25 Milliar
https://www.properti123.com/properti-jual/12885-kenigayo-residence-cluster-exclusive-rumah-2-lantai-siap-huni,"Kota Jakarta Timur, Dki Jakarta",Rp 1.9 Milliar
https://www.properti123.com/properti-jual/12881-dijual-murah-rumah-cluster-di-warung-sila-jagakarsa-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 1.03 Milliar
https://www.properti123.com/properti-jual/12864-dijual-murah-rumah-mewah-di-jln-jatipadang-pasar-minggu-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 3.95 Milliar
