URL,Lokasi,Harga
https://www.properti123.com/properti-jual/6708-dijual-rumah-mewah-baru-di-kawasan-pejaten-jakarta-selatan-siap-huni,"Kota Jakarta Selatan, Dki Jakarta",Rp 4.5 Milliar
https://www.properti123.com/properti-jual/6657-rumah-bagus-jl-garuda-bintaro-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 8.2 Milliar
https://www.properti123.com/properti-jual/6623-dijual-murah-rumah-minimalis-dan-mewah-cipayung-jakarta-timur,"Kota Jakarta Timur, Dki Jakarta",Rp 4.5 Milliar
https://www.properti123.com/properti-jual/6617-greencourt-boulevard-raya-kapuk-jakarta-barat,"Kota Jakarta Barat, Dki Jakarta",Rp 4.5 Milliar
https://www.properti123.com/properti-jual/6616-dijual-rumah-pribadi-di-jalan-anggrek-neli-murni-7-a-slipi-jakarta-barat,"Kota Jakarta Barat, Dki Jakarta",Rp 8.6 Milliar
https://www.properti123.com/properti-jual/6607-rumah-ready-lubang-buaya-cipayung-jakarta-timur,"Kota Jakarta Timur, Dki Jakarta",Rp 899 Juta
https://www.properti123.com/properti-jual/6602-rumah-green-kramat-4-lubang-buaya-cipayung-jakarta-timur,"Kota Jakarta Timur, Dki Jakarta",Rp 899 Juta
https://www.properti123.com/properti-sewa/6578-disewakan-rumah-di-fatmawati-dekat-mrt-h-nawi-gandaria-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 300 Juta
https://www.properti123.com/properti-jual/6577-dijual-murah-rumah-bagus-di-jln-tebet-utara-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 7.9 Milliar
https://www.properti123.com/properti-jual/6575-jual-murah-rumah-kost-lantai-5-ada-70-kamar-3-kios-lokasi-dekat-kampus-binus,"Kota Jakarta Barat, Dki Jakarta",Rp 15 Milliar
https://www.properti123.com/properti-sewa/6571-sewa-rumah-mewah-di-jl-alam-segar-1-dekat-pondok-indah-mall-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 480 Juta
https://www.properti123.com/properti-jual/6527-dijual-murah-rumah-di-jln-padibu-duren-sawit-jakarta-timur,"Kota Jakarta Timur, Dki Jakarta",Rp 2.2 Milliar
https://www.properti123.com/properti-sewa/6509-sewa-rumah-mewah-2-lantai-full-furnished-strategis-di-kemanggisan-jakarta-barat,"Kota Jakarta Barat, Dki Jakarta",Rp 190 Juta
https://www.properti123.com/properti-sewa/6501-best-deal-sewa-ruang-kantor-furnished-slipi-senayan-mulai-2-4-jt-ruangan,"Kota Jakarta Selatan, Dki Jakarta",Rp 2.4 Juta
https://www.properti123.com/properti-jual/6457-dijual-murah-rumah-second-di-jl-tebet-barat-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 2 Milliar
https://www.properti123.com/properti-jual/6455-dijual-rumah-cluster-mewah-di-warung-sila-jagakarsa-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 1.95 Milliar
https://www.properti123.com/properti-jual/6449-rumah-dan-klinik-bersalin-berukuran-luas-di-jatinegara-jakarta-timur,"Kota Jakarta Timur, Dki Jakarta",Rp 11 Milliar
https://www.properti123.com/properti-jual/6407-dijual-apartemen-baru-tipe-studio-2br-3br-cicilan-mulai-100-ribuan-per-hari-di-citra-landmark-southeast-jakarta,"Kota Jakarta Timur, Dki Jakarta",Rp 400 Juta
https://www.properti123.com/properti-jual/6386-rumah-mewah-murah-dan-siap-huni-di-cilandak-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 4.5 Milliar
https://www.properti123.com/properti-jual/6343-dijual-murah-rumah-modern-minimalis-di-jagakarsa-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 1.4 Milliar
https://www.properti123.com/properti-jual/6331-dijual-rumah-mewah-di-permata-hijau-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 28 Milliar
https://www.properti123.com/properti-jual/6330-dijual-rumah-di-komplek-minyak-duren-tiga-pancoran-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 4.9 Milliar
https://www.properti123.com/properti-jual/6329-dijual-rumah-mewah-di-jln-sadar-raya-jagakarsa-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 3.25 Milliar
